wT;w0;w1;w2;w0f;w1f;w2f;wTf;epochs
0.017644938149100398;0.957836901068365;0.5213425166237452;0.5650001041243008;1.4163709010683707;2.3940185166237398;-0.6731078958756953;-2.8823550618509017;315
0.04091387818205061;0.66507918446226;0.02122377856604618;0.8379479249228933;1.5242251844622683;2.46773577856603;-0.7278060750771022;-3.0390861218179515;389
0.8372274958292266;0.11897506061654517;0.5951143582531923;0.3463100196041696;1.559167060616554;2.477242358253156;-0.7350959803958274;-3.082772504170776;420
0.9714000184978482;0.7258598589126947;0.9615456121427148;0.9833150083128198;1.4156718589127024;2.3964756121426904;-0.6709129916871794;-2.8685999815021543;362
0.5819669428740905;0.5553756944337249;0.4543541302709334;0.906210501568912;1.515471694433737;2.464052130270905;-0.7266934984310848;-3.038033057125912;403
0.9864852785855514;0.3236597587897414;0.6836733299750758;0.09175695804702655;1.5204937587897507;2.4687913299750384;-0.7268850419529723;-3.0335147214144516;422
0.4874282097397292;0.7375309823879413;0.7875996710931688;0.7456874924131753;1.5712029823879539;2.4960876710931332;-0.7372845075868225;-3.092571790260273;423
0.28265347058333945;0.34373555971472913;0.8350018692038521;0.9382723388789754;1.5862055597147406;2.5216438692038254;-0.7461716611210197;-3.137346529416663;431
0.06546765450913272;0.926168839912344;0.2777259987213402;0.2956962209588103;1.5954408399123527;2.5354759987213167;-0.750065779041183;-3.15453234549087;426
0.19404304642424486;0.21941543051710388;0.07680764434147314;0.2560073406065322;1.5147334305171123;2.4587376443414595;-0.7243946593934621;-3.0259569535757573;374
